"","SqlTrace"
"4444","INSERT INTO HS_Tache (         CUSTNMBR         , ADRSCODE         , Service_Call_ID         , Equipment_ID         , Task_Code         , Task_Description         , Task_Line_Number         , SeqNumbr         , Estimate_Hours         , Time_Zone         , Completion_Date         , Task_Status          , Task_Answer         , Notes         , Partenaire         , CreateurUser         , CreateurDate         , ModifUser         , ModifDate         , DateMinimale         , DateMaximale         , Completion_Time         , DateAjoutBlaster  )  VALUES ('CL00763330' ,'SERVICE' ,'161019-0001' ,'' ,'PAR002' ,'ENVOYER COURRIEL' ,'3' ,'3' ,0 ,'1' ,CONVERT(DATETIME,'1900-01-01') ,'COMPLETE' ,'' ,'' ,'CONFORT EXPERT' ,'ed50617RSC' ,CONVERT(DATETIME,'2016-11-10 08:17:44') ,'' ,CONVERT(DATETIME,'1900-01-01 00:00:00') ,CONVERT(DATETIME,'2016-11-10') ,CONVERT(DATETIME,'2016-12-10') ,CONVERT(DATETIME,'1900-01-01 00:00:00') ,CONVERT(DATETIME,'1900-01-01') )"
"4445","INSERT INTO HS_Tache (         CUSTNMBR         , ADRSCODE         , Service_Call_ID         , Equipment_ID         , Task_Code         , Task_Description         , Task_Line_Number         , SeqNumbr         , Estimate_Hours         , Time_Zone         , Completion_Date         , Task_Status          , Task_Answer         , Notes         , Partenaire         , CreateurUser         , CreateurDate         , ModifUser         , ModifDate         , DateMinimale         , DateMaximale         , Completion_Time         , DateAjoutBlaster  )  VALUES ('CL00763330' ,'SERVICE' ,'161019-0001' ,'' ,'PAR002' ,'ENVOYER COURRIEL' ,'3' ,'3' ,0 ,'1' ,CONVERT(DATETIME,'1900-01-01') ,'COMPLETE' ,'' ,'' ,'CONFORT EXPERT' ,'ed50617RSC' ,CONVERT(DATETIME,'2016-11-10 08:17:44') ,'' ,CONVERT(DATETIME,'1900-01-01 00:00:00') ,CONVERT(DATETIME,'2016-11-10') ,CONVERT(DATETIME,'2016-12-10') ,CONVERT(DATETIME,'1900-01-01 00:00:00') ,CONVERT(DATETIME,'1900-01-01') )"
"4446","declare @p1 int
set @p1=180151445
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select top 1 JoursAncienDelegue from gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4447","exec sp_cursorfetch 180151445,16,1,1"
"4448","exec sp_cursorclose 180151445"
"4449","declare @p1 int
set @p1=180151447
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT SUM(Estimate_Hours) FROM HS_Tache WHERE CUSTNMBR = ''CL00763330'' AND Service_Call_ID = ''161019-0001''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4450","exec sp_cursorfetch 180151447,16,1,1"
"4451","exec sp_cursorclose 180151447"
"4452","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"4453","UPDATE SV00301 SET Estimate_Hours = '0' WHERE Service_Call_ID = '161019-0001'"
"4454","UPDATE SV00301 SET Estimate_Hours = '0' WHERE Service_Call_ID = '161019-0001'"
"4455","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"4456","UPDATE HS_Appel SET Call_Time = '0' WHERE Service_Call_ID = '161019-0001'"
"4457","UPDATE HS_Appel SET Call_Time = '0' WHERE Service_Call_ID = '161019-0001'"
"4458","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"4459","delete from HS_LISTE_TACHE  WHERE Service_Call_ID ='161019-0001' and Task_Code = 'PAR002'"
"4460","delete from HS_LISTE_TACHE  WHERE Service_Call_ID ='161019-0001' and Task_Code = 'PAR002'"
"4461","exec sp_cursorclose 180151443"
"4462","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"4463","INSERT INTO GMP_FAX (To_Address, From_Address, Subject, Body, Request_Date, FAX_NUMBER,Piece_Jointe)  VALUES (  'CONFORT EXPERT', 'HydroSoft', '161019-0001', '', CONVERT(DATETIME,'2016-11-10 08:17:45'), '51464011200000', '\\dev01-hs\Attachement\161019-0001-19.html')"
"4464","INSERT INTO GMP_FAX (To_Address, From_Address, Subject, Body, Request_Date, FAX_NUMBER,Piece_Jointe)  VALUES (  'CONFORT EXPERT', 'HydroSoft', '161019-0001', '', CONVERT(DATETIME,'2016-11-10 08:17:45'), '51464011200000', '\\dev01-hs\Attachement\161019-0001-19.html')"
"4465","declare @p1 int
set @p1=180151449
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MAX(Task_Line_Number) FROM HS_Tache WHERE Service_Call_ID = ''161019-0001''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4466","exec sp_cursorfetch 180151449,16,1,1"
"4467","exec sp_cursorclose 180151449"
"4468","declare @p1 int
set @p1=180151451
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT * FROM HS_Tache  WHERE HS_Tache.Service_Call_ID = ''161019-0001'' AND HS_Tache.Task_Code = ''PAR001'' AND HS_Tache.Task_Line_Number = ''4''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4469","exec sp_cursorfetch 180151451,16,1,1"
"4470","exec sp_cursorclose 180151451"
"4471","declare @p1 int
set @p1=180151453
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM HS_Tache  WHERE Service_Call_ID = ''161019-0001''  AND Task_Code = ''PAR001''  AND Task_Line_Number = ''4'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4472","exec sp_cursorfetch 180151453,16,1,1"
"4473","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"4474","INSERT INTO HS_Tache (         CUSTNMBR         , ADRSCODE         , Service_Call_ID         , Equipment_ID         , Task_Code         , Task_Description         , Task_Line_Number         , SeqNumbr         , Estimate_Hours         , Time_Zone         , Completion_Date         , Task_Status          , Task_Answer         , Notes         , Partenaire         , CreateurUser         , CreateurDate         , ModifUser         , ModifDate         , DateMinimale         , DateMaximale         , Completion_Time         , DateAjoutBlaster  )  VALUES ('CL00763330' ,'SERVICE' ,'161019-0001' ,'' ,'PAR001' ,'ENVOYER TELECOPIE' ,'4' ,'4' ,0 ,'1' ,CONVERT(DATETIME,'1900-01-01') ,'COMPLETE' ,'' ,'' ,'CONFORT EXPERT' ,'ed50617RSC' ,CONVERT(DATETIME,'2016-11-10 08:17:45') ,'' ,CONVERT(DATETIME,'1900-01-01 00:00:00') ,CONVERT(DATETIME,'2016-11-10') ,CONVERT(DATETIME,'2016-12-10') ,CONVERT(DATETIME,'1900-01-01 00:00:00') ,CONVERT(DATETIME,'1900-01-01') )"
"4475","INSERT INTO HS_Tache (         CUSTNMBR         , ADRSCODE         , Service_Call_ID         , Equipment_ID         , Task_Code         , Task_Description         , Task_Line_Number         , SeqNumbr         , Estimate_Hours         , Time_Zone         , Completion_Date         , Task_Status          , Task_Answer         , Notes         , Partenaire         , CreateurUser         , CreateurDate         , ModifUser         , ModifDate         , DateMinimale         , DateMaximale         , Completion_Time         , DateAjoutBlaster  )  VALUES ('CL00763330' ,'SERVICE' ,'161019-0001' ,'' ,'PAR001' ,'ENVOYER TELECOPIE' ,'4' ,'4' ,0 ,'1' ,CONVERT(DATETIME,'1900-01-01') ,'COMPLETE' ,'' ,'' ,'CONFORT EXPERT' ,'ed50617RSC' ,CONVERT(DATETIME,'2016-11-10 08:17:45') ,'' ,CONVERT(DATETIME,'1900-01-01 00:00:00') ,CONVERT(DATETIME,'2016-11-10') ,CONVERT(DATETIME,'2016-12-10') ,CONVERT(DATETIME,'1900-01-01 00:00:00') ,CONVERT(DATETIME,'1900-01-01') )"
"4476","declare @p1 int
set @p1=180151455
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select top 1 JoursAncienDelegue from gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4477","exec sp_cursorfetch 180151455,16,1,1"
"4478","exec sp_cursorclose 180151455"
"4479","declare @p1 int
set @p1=180151457
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT SUM(Estimate_Hours) FROM HS_Tache WHERE CUSTNMBR = ''CL00763330'' AND Service_Call_ID = ''161019-0001''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4480","exec sp_cursorfetch 180151457,16,1,1"
"4481","exec sp_cursorclose 180151457"
"4482","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"4483","UPDATE SV00301 SET Estimate_Hours = '0' WHERE Service_Call_ID = '161019-0001'"
"4484","UPDATE SV00301 SET Estimate_Hours = '0' WHERE Service_Call_ID = '161019-0001'"
"4485","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"4486","UPDATE HS_Appel SET Call_Time = '0' WHERE Service_Call_ID = '161019-0001'"
"4487","UPDATE HS_Appel SET Call_Time = '0' WHERE Service_Call_ID = '161019-0001'"
"4488","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"4489","delete from HS_LISTE_TACHE  WHERE Service_Call_ID ='161019-0001' and Task_Code = 'PAR001'"
"4490","delete from HS_LISTE_TACHE  WHERE Service_Call_ID ='161019-0001' and Task_Code = 'PAR001'"
"4491","exec sp_cursorclose 180151453"
"4492","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"4493","UPDATE GMP_PARTENAIRES set CourrielDemande = '1'  where CUSTNMBR='CL00763330' and ADRSCODE = 'SERVICE' and Service_Call_ID='161019-0001'"
"4494","UPDATE GMP_PARTENAIRES set CourrielDemande = '1'  where CUSTNMBR='CL00763330' and ADRSCODE = 'SERVICE' and Service_Call_ID='161019-0001'"
"4495","declare @p1 int
set @p1=180151459
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT sv000805.*, ISNULL(t.Task_Description, sv000805.Note_Service_Index) as Subject  , CASE WHEN ISNULL(t.Task_Description, '''') <> '''' THEN 1 ELSE 0 END as ModeTache, a.Type_of_Problem , RTRIM(sv000805.CustNmbr) + ''_'' + RTRIM(sv000805.AdrsCode) + ''_'' + RTRIM(sv000805.Service_Call_ID) + ''_'' + RTRIM(sv000805.Ws_Note_Type) + ''_'' + RTRIM(sv000805.Note_Service_Index) as NoteKey FROM SV000805  LEFT JOIN HS_Appel a on sv000805.Service_Call_ID= a.Service_Call_ID LEFT JOIN HS_Tache t on sv000805.Service_Call_ID= t.Service_Call_ID         AND t.Task_Line_Number= CASE WHEN ISNUMERIC(sv000805.Note_Service_Index)= 1 THEN sv000805.Note_Service_Index ELSE 0 END WHERE UPPER(Reminder_Author) = ''ED50617RSC''  AND Reminder = ''1''  AND Reminder_Date <= CONVERT(DATETIME,''2016-11-10 08:17:00'')  AND Reminder_Date >= CONVERT(DATETIME,''2000-01-01 00:00:00'')  AND sv000805.WSReserved_CB5= 0  ORDER BY  Reminder_Date ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4496","exec sp_cursoroption 180151459,1,0"
"4497","exec sp_cursorfetch 180151459,16,1,1"
"4498","exec sp_cursorclose 180151459"
"4499","exec sp_cursorclose 180151417"
"4500","exec sp_cursorclose 180151357"
"4501","declare @p1 int
set @p1=180151461
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select WSReserved_CB2 from SV00310 Where Type_of_Problem = ''LEAD PARTENAIRE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4502","exec sp_cursorfetch 180151461,16,1,1"
"4503","exec sp_cursorclose 180151461"
"4504","declare @p1 int
set @p1=180151463
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Problem_ID FROM sv00310 WHERE Type_of_Problem= ''LEAD PARTENAIRE''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4505","exec sp_cursorfetch 180151463,16,1,1"
"4506","exec sp_cursorclose 180151463"
"4507","declare @p1 int
set @p1=180151465
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=4
exec sp_cursoropen @p1 output,N'SELECT DISTINCT Resolution_ID,rtrim(Resolution_Description)as Resolution_Description  FROM SV00394  WHERE (Service_User_Define_5 = ''1''  AND Article_ID= ''489'' )  ORDER BY Resolution_Description ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4508","exec sp_cursorfetch 180151465,16,1,1"
"4509","exec sp_cursorfetch 180151465,16,2,1"
"4510","exec sp_cursorfetch 180151465,16,3,1"
"4511","exec sp_cursorfetch 180151465,16,4,1"
"4512","exec sp_cursorfetch 180151465,16,5,1"
"4513","declare @p1 int
set @p1=180151467
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT WSReserved_CB2 FROM SV00310 WHERE Type_of_Problem = ''LEAD PARTENAIRE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4514","exec sp_cursorfetch 180151467,16,1,1"
"4515","exec sp_cursorclose 180151467"
"4516","declare @p1 int
set @p1=180151469
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT DISTINCT Task_Code, Task_Description FROM SV00560, SV00310  WHERE ITEMTYPE= 1 AND RTRIM(SV00310.Type_of_Problem) = RTRIM(SV00560.Equipment_Type)  AND RTRIM(SV00310.Type_of_Problem) = ''LEAD PARTENAIRE''  AND (RTRIM(SV00560.Sub_3) = ''ELECTRICITE'' OR RTRIM(SV00560.Sub_3) = '''') AND RTRIM(SV00560.Skill_Level) <> ''LOGEMENTS''  AND RTRIM(SV00560.Task_User_Define1) <> ''LOGEMENTS''  AND RTRIM(SV00560.Task_User_Define2) <> ''LOGEMENTS''  AND RTRIM(SV00560.Task_User_Define3) <> ''LOGEMENTS''  AND RTRIM(SV00560.Task_User_Define4) <> ''LOGEMENTS''  OR Task_Code  = ''HS0008'' ORDER BY Task_Description ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
